食,1
衣,2
住,3
行,4
育,5
樂,6
其他,7
家用,8
育兒,9
小灶私廚代墊,10
現金,
J卡Point,
J卡Cash,
momo卡,
熊卡,
LineBank,
LinePoint,
momo紅利金,
mo幣,
收入,
富邦聯名卡,
遠東商銀卡,
富邦好市多聯名卡,
全聯儲值金餘額,
