日期,星期,品項,付款方式,金額,刷卡金額,分類項目,備註,固定開銷,總花費,本月收支餘額,,,金額,占總消費百分比
2026/2/1,日,白膠跟屁孩牙線,現金,-120,,育兒,,,,131972,,,,
2026/2/1,日,晚餐,J卡Point,,-746,家用,,,,總收入,,,,
2026/2/2,一,牛奶,J卡Point,,-162,食,,,,329980,,,,
2026/2/2,一,濾心,現金,-2350,,住,,,,,,,,
2026/2/2,一,玻璃瓶,現金,-480,,其它,小灶私廚代墊,,,,,,,
2026/2/3,二,韋勛的吸塵器,熊卡,,-3570,其它,代墊,,,,,,,
2026/2/3,二,日昇電費,現金,-2640,,住,,,,,,,,
2026/2/3,二,皇家電費,現金,-566,,其它,代墊,,,,,,,
2026/2/3,二,電子書閱讀器,熊卡,,-9500,樂,,,,,,,,
2026/2/3,二,玉米罐頭,熊卡,,-95,其它,,,,,,,,
2026/2/3,二,爸媽給宜蘭代墊費用,收入,3160,,收入,,,,,,,,
2026/2/4,三,小七,J卡Point,,-39,食,,,,,,,,
2026/2/4,三,午餐,J卡Cash,,-553,食,,,,,,,,
2026/2/4,三,嘉彣給生日禮金,收入,10000,,收入,電子書閱讀器9500,,,,,,,
2026/2/5,四,薪資,收入,62200,,收入,,,,,,,,
2026/2/5,四,勞保費,現金,-1145,,保險,,,,,,,,
2026/2/5,四,健保費,現金,-990,,保險,,,,,,,,
2026/2/5,四,福利金,現金,-311,,其它,,,,,,,,
2026/2/5,四,持股信託,現金,-1000,,投資,,,,,,,,
2026/2/5,四,日昇房貸,現金,-30951,,住,,,,,,,,
2026/2/5,四,富邦卡費,現金,-11042,,其它,,,,,,,,
2026/2/5,四,日昇管理費,現金,-3450,,住,,,,,,,,
2026/2/5,四,芥花油,現金,-550,,其它,小灶私廚代墊,,,,,,,
2026/2/5,四,清心,J卡Point,,-120,食,,,,,,,,
2026/2/6,五,家用,現金,-10000,,家用,,,,,,,,
2026/2/6,五,午餐,J卡Cash,,-155,家用,,,,,,,,
2026/2/6,五,發票中獎,收入,998,,收入,已扣除2元印花稅,,,,,,,
2026/2/6,五,晚餐,J卡Point,,-601,家用,,,,,,,,
2026/2/6,五,蝦皮,現金,-210,,其它,辣椒粉，破布子，山葵,,,,,,,
2026/2/6,五,518,現金,-214,,其它,玻璃瓶兩個，氣球一包，滴油罐一個,,,,,,,
2026/2/6,五,書,momo卡,,-1000,育兒,另付341 momo幣,,,,,,,
2026/2/7,六,美廉社,J卡Point,,-425,家用,,,,,,,,
2026/2/8,日,電子書,J卡Point,,-1572,樂,,,,,,,,
2026/2/8,日,麵包,現金,-85,,食,,,,,,,,
2026/2/9,一,小七,J卡Point,,-134,食,,,,,,,,
2026/2/9,一,全家,熊卡,,-45,食,,,,,,,,
2026/2/9,一,午餐,J卡Point,,-398,食,,,,,,,,
2026/2/9,一,晚餐,J卡Point,,-345,家用,,,,,,,,
2026/2/9,一,全聯,熊卡,,-221,家用,,,,,,,,
2026/2/9,一,美廉社,J卡Point,,-211,家用,,,,,,,,
2026/2/9,一,我跟66回診,現金,-400,,醫療,,,,,,,,
2026/2/10,二,午餐,熊卡,,-89,食,,,,,,,,
2026/2/11,三,年終獎金,收入,229600,,收入,,,,,,,,
2026/2/11,三,所得稅,現金,-11480,,其它,,,,,,,,
2026/2/11,三,午餐,J卡Point,,-270,食,,,,,,,,
2026/2/11,三,阿球給午餐錢,收入,135,,收入,,,,,,,,
2026/2/11,三,晚餐,J卡Point,,-444,家用,,,,,,,,
2026/2/11,三,麵包,現金,-385,,家用,,,,,,,,
2026/2/12,四,早餐,現金,-53,,食,,,,,,,,
2026/2/12,四,午餐,現金,-1500,,食,,,,,,,,
2026/2/13,五,小七,J卡Point,,-45,食,,,,,,,,
2026/2/13,五,冰炫風,momo卡,,-13,食,另付momo幣46元,,,,,,,
2026/2/13,五,房租收入,收入,18566,,收入,,,,,,,,
2026/2/14,六,回診,現金,-400,,醫療,,,,,,,,
2026/2/14,六,小七,J卡Point,,-388,,,,,,,,,
2026/2/14,六,晚餐,J卡Point,,-617,家用,,,,,,,,
2026/2/14,六,美廉社,J卡Point,,-414,家用,,,,,,,,
2026/2/15,日,line禮物,J卡Point,,-380,其它,,,,,,,,
2026/2/15,日,小七,J卡Point,,-60,食,,,,,,,,
2026/2/15,日,午餐,J卡Point,,-1168,家用,,,,,,,,
2026/2/15,日,NET,J卡Point,,-628,育兒,,,,,,,,
2026/2/15,日,湯姆熊,現金,-90,,樂,,,,,,,,
2026/2/15,日,澳洲代購,現金,-7100,,家用,,,,,,,,
