日期,星期,品項,付款方式,金額,刷卡金額,分類項目,備註,固定開銷,總花費,本月收支餘額,,,金額,占總消費百分比
2026/6/1,一,定期定額扣款,現金,-1966,,投資,,,,-23695,,,,
2026/6/2,二,Google cloud 帳單,熊卡,,-1,其它,,,,,,,,
2026/6/2,二,早餐,熊卡,,-59,食,,,,總收入,,,,
2026/6/2,二,換日幣,現金,-3980,,樂,,,,81702,,,,
2026/6/2,二,皇家代墊電費,現金,-777,,住,,,,,,,,
2026/6/2,二,日昇電費,現金,-2808,,住,,,,,,,,
2026/6/2,二,烏梅生日禮物票券,現金,-380,,其它,,,,,,,,
2026/6/2,二,晚餐,J卡Point,,-442,家用,,,,,,,,
2026/6/3,三,午餐,現金,-115,,食,,,,,,,,
2026/6/3,三,衛生紙,J卡Point,,-179,家用,,,,,,,,
2026/6/3,三,美廉社,J卡Point,,-160,家用,,,,,,,,
2026/6/4,四,早餐,熊卡,,-74,食,,,,,,,,
2026/6/4,四,牙線棒跟綿拖把補充品,momo卡,,-736,家用,,,,,,,,
2026/6/5,五,小七,J卡Point,,-138,食,,,,,,,,
2026/6/5,五,薪資,收入,62200,,收入,,,,,,,,
2026/6/5,五,勞保費,現金,-1145,,保險,,,,,,,,
2026/6/5,五,健保費,現金,-990,,保險,,,,,,,,
2026/6/5,五,福利金,現金,-311,,其它,,,,,,,,
2026/6/5,五,持股信託,現金,-1000,,投資,,,,,,,,
2026/6/5,五,全聯,熊卡,,-421,家用,,,,,,,,
2026/6/5,五,定期定額扣款,現金,-1984,,投資,,,,,,,,
2026/6/5,五,晚餐,J卡Point,,-622,家用,,,,,,,,
2026/6/5,五,家用儲值,現金,-800,,家用,,,,,,,,
2026/6/6,六,發票獎金,收入,500,,收入,,,,,,,,
2026/6/6,六,全家,熊卡,,-539,其它,,,,,,,,
2026/6/6,六,晚餐,J卡Point,,-463,家用,,,,,,,,
2026/6/6,六,豆漿,J卡Point,,-75,家用,,,,,,,,
2026/6/6,六,小汽車,J卡Point,,-150,育兒,,,,,,,,
2026/6/6,六,美廉社,J卡Point,,-263,家用,,,,,,,,
2026/6/7,日,加油,現金,-145,,行,欠公積金100,,,,,,,
2026/6/7,日,晚餐,J卡Point,,-508,家用,,,,,,,,
2026/6/7,日,晚餐,現金,-451,,家用,,,,,,,,
2026/6/8,一,早餐,熊卡,,-59,食,,,,,,,,
2026/6/9,二,星巴克,J卡Point,,-296,食,,,,,,,,
2026/6/9,二,樂法,J卡Point,,-165,食,,,,,,,,
2026/6/9,二,晚餐,現金,-480,,家用,,,,,,,,
2026/6/9,二,停車,熊卡,,-15,行,,,,,,,,
2026/6/10,三,明水然訂位,現金,-4158,,食,,,,,,,,
2026/6/10,三,投資股票,現金,-54966,,投資,6/8買台積電、致茂、鈊象各10股,,,,,,,
2026/6/10,三,小七,J卡Point,,-215,家用,,,,,,,,
2026/6/10,三,晚餐,J卡Point,,-648,家用,,,,,,,,
2026/6/10,三,定期定額扣款,現金,-1952,,投資,,,,,,,,
2026/6/10,三,美廉社,J卡Point,,-229,家用,,,,,,,,
2026/6/11,四,房租收入,收入,18777,,收入,,,,,,,,
2026/6/11,四,早餐,熊卡,,-59,食,,,,,,,,
2026/6/11,四,午餐,J卡Point,,-125,食,,,,,,,,
2026/6/11,四,味素,J卡Point,,-73,家用,,,,,,,,
2026/6/12,五,罰單,現金,-504,,其它,垃圾政府的空污罰單含手續費4元,,,,,,,
2026/6/12,五,股利發放,收入,225,,收入,878,,,,,,,
2026/6/12,五,按摩,現金,-2700,,醫療,,,,,,,,
2026/6/12,五,雨傘,J卡Point,,-79,家用,,,,,,,,
2026/6/12,五,J卡悠遊卡自動加值,J卡Point,,-500,行,,,,,,,,
2026/6/12,五,熊卡悠遊卡自動加值,熊卡,,-500,行,,,,,,,,
2026/6/12,五,咖啡,現金,-317,,食,,,,,,,,
2026/6/13,六,冰,J卡Point,,-142,食,,,,,,,,
2026/6/13,六,彈珠課金,熊卡,,-240,樂,,,,,,,,
2026/6/13,六,米,現金,-190,,家用,,,,,,,,
2026/6/14,日,小七,J卡Point,,-136,食,,,,,,,,
2026/6/14,日,洋蔥跟香蕉,現金,-85,,食,洋蔥三個45,,,,,,,
2026/6/14,日,萊爾富,J卡Point,,-78,食,,,,,,,,
2026/6/14,日,午餐,現金,-370,,家用,,,,,,,,
2026/6/14,日,小七,J卡Point,,-93,食,,,,,,,,
2026/6/15,一,漢堡王,momo卡,,-1,食,另付momo幣178,,,,,,,
2026/6/15,一,停車,現金,-20,,行,,,,,,,,
2026/6/15,一,讀卡機,J卡Point,,-329,家用,,,,,,,,
2026/6/15,一,全聯,熊卡,,-567,家用,,,,,,,,
2026/6/15,一,美廉社,J卡Point,,-302,家用,,,,,,,,
2026/6/15,一,定期定額扣款,現金,-1964,,投資,,,,,,,,
2026/6/15,一,尿布,富邦好市多聯名卡,,-2198,育兒,,,,,,,,
2026/6/16,二,早餐,熊卡,,-59,食,,,,,,,,
2026/6/16,二,房貸加火險,現金,-6859,,住,,,,,,,,
2026/6/16,二,午餐,現金,-170,,食,,,,,,,,
2026/6/16,二,晚餐,J卡Point,,-386,家用,,,,,,,,
2026/6/16,二,加油,J卡Point,,-152,行,,,,,,,,
2026/6/17,三,玉山卡費,現金,-12869,,其它,,,,,,,,
2026/6/17,三,早餐,J卡Point,,-49,食,,,,,,,,
2026/6/17,三,午餐,現金,-95,,食,,,,,,,,
2026/6/17,三,蝦皮,現金,-846,,其它,215奶酪盒，631書錢,,,,,,,
2026/6/17,三,豆漿,J卡Point,,-75,食,,,,,,,,
2026/6/18,四,小七,J卡Point,,-289,家用,,,,,,,,
