日期,星期,品項,付款方式,金額,刷卡金額,分類項目,備註,固定開銷,總花費,本月收支餘額,,,金額,占總消費百分比
2026/1/1,四,青菜,現金,-130,,家用,,,,84,,,,
2026/1/1,四,美廉社,熊卡,,-134,家用,胚芽牛奶跟廚房紙巾,,,總收入,,,,
2026/1/1,四,鹹酥雞,現金,-185,,食,,,,81278,,,,
2026/1/1,四,美廉社,熊卡,,-210,食,鮮奶跟啤酒,,,,,,,
2026/1/2,五,早餐,現金,-48,,食,,,,,,,,
2026/1/2,五,午餐,現金,-170,,食,,,,,,,,
2026/1/2,五,團購公司美式咖啡,現金,-320,,食,,,,,,,,
2026/1/2,五,看醫生,現金,-200,,醫療,,,,,,,,
2026/1/4,日,午餐,J卡Cash,,-364,家用,,,,,,,,
2026/1/4,日,嘉彣襪子,現金,-200,,食,,,,,,,,
2026/1/5,一,薪資,收入,62200,,收入,,,,,,,,
2026/1/5,一,勞保費,現金,-1145,,保險,,,,,,,,
2026/1/5,一,健保費,現金,-990,,保險,,,,,,,,
2026/1/5,一,福利金,現金,-311,,其它,,,,,,,,
2026/1/5,一,持股信託,現金,-1000,,投資,,,,,,,,
2026/1/5,一,大順尿布,富邦聯名卡,,-2998,育兒,,,,,,,,
2026/1/5,一,日昇房貸,現金,-30951,,住,,,,,,,,
2026/1/5,一,鮮奶,熊卡,,-146,食,,,,,,,,
2026/1/5,一,家用,現金,-10000,,家用,,,,,,,,
2026/1/5,一,小七,J卡Cash,,-154,食,,,,,,,,
2026/1/5,一,日昇水費,現金,-588,,住,,,,,,,,
2026/1/5,一,皇家天然氣,現金,-571,,其它,,,,,,,,
2026/1/5,一,我跟66看醫生,現金,-400,,醫療,,,,,,,,
2026/1/6,二,滑鼠與磅秤,momo卡,,-638,其它,,,,,,,,
2026/1/7,三,小七,J卡Cash,,-185,食,,,,,,,,
2026/1/10,六,湯匙,現金,-60,,育兒,,,,,,,,
2026/1/10,六,蝦皮,現金,-205,,家用,,,,,,,,
2026/1/10,六,全聯,熊卡,,-87,家用,,,,,,,,
2026/1/10,六,鮮奶,熊卡,,-146,家用,,,,,,,,
2026/1/10,六,晚餐,現金,-510,,家用,,,,,,,,
2026/1/11,日,午餐,現金,-480,,家用,,,,,,,,
2026/1/11,日,晚餐,熊卡,,-323,家用,,,,,,,,
2026/1/12,一,午餐,J卡Point,,-274,食,,,,,,,,
2026/1/12,一,球哥給午餐錢,收入,139,,收入,,,,,,,,
2026/1/12,一,橄欖粉,現金,-780,,醫療,,,,,,,,
2026/1/13,二,午餐,現金,-170,,食,,,,,,,,
2026/1/13,二,晚餐,J卡Cash,,-472,家用,,,,,,,,
2026/1/13,二,晚餐,現金,-90,,食,,,,,,,,
2026/1/13,二,美廉社,J卡Cash,,-251,家用,,,,,,,,
2026/1/14,三,早餐,熊卡,,-59,食,,,,,,,,
2026/1/14,三,午餐,現金,-135,,食,,,,,,,,
2026/1/14,三,晚餐,現金,-320,,食,,,,,,,,
2026/1/14,三,66看醫生,現金,-200,,育兒,,,,,,,,
2026/1/15,四,午餐,現金,-140,,食,,,,,,,,
2026/1/15,四,麵包,現金,-269,,食,,,,,,,,
