日期,星期,品項,付款方式,金額,刷卡金額,分類項目,備註,固定開銷,總花費,本月收支餘額,,,金額,占總消費百分比
2026/5/22,五,小七,現金,-430,,樂,,,,,,,,
2026/5/22,五,臭豆腐,現金,-80,,樂,,,,,,,,
2026/5/22,五,住宿,熊卡,,-2546,樂,,,,,,,,
2026/5/22,五,晚餐,現金,-810,,樂,,,,,,,,
2026/5/23,六,杏鮑菇跟木耳露,現金,-150,,樂,,,,,,,,
2026/5/23,六,蜂蜜,熊卡,,-600,樂,,,,,,,,
2026/5/23,六,冰淇淋,現金,-100,,樂,,,,,,,,
2026/5/23,六,小火車門票,現金,-300,,樂,,,,,,,,
2026/5/23,六,小七,現金,-87,,樂,,,,,,,,
2026/5/23,六,加油,熊卡,,-678,樂,,,,,,,,
2026/5/23,六,清水休息區,現金,-255,,樂,,,,,,,,
2026/5/23,六,刮刮樂跟樂透,現金,-1000,,樂,,,,,,,,
2026/5/23,六,66禮品跟蜂膠牙膏,現金,-450,,樂,,,,,,,,
2026/5/23,六,給爸過路費,現金,-200,,樂,,,,,,,,
2026/5/23,六,美廉社,J卡Point,,-218,家用,,,,,,,,
2026/5/23,六,鹽酥雞,J卡Point,,-339,食,,,,,,,,
2026/5/23,六,小七,J卡Point,,-125,食,,,,,,,,
2026/5/24,日,停車,現金,-15,,行,,,,,,,,
2026/5/25,一,富邦卡費,現金,-13112,,其它,,,,,,,,
2026/5/25,一,晚餐,J卡Point,,-411,家用,,,,,,,,
2026/5/25,一,定期定額扣款,現金,-1960,,投資,,,,,,,,
2026/5/25,一,美廉社,J卡Point,,-435,家用,,,,,,,,
2026/5/26,二,尿布,富邦好市多聯名卡,,-1099,育兒,,,,,,,,
2026/5/27,三,豆媽饅頭,現金,-926,,食,,,,,,,,
2026/5/28,四,房屋稅,現金,-1804,,住,,,,,,,,
2026/5/28,四,全聯,熊卡,,-560,家用,小灶代墊479,,,,,,,
2026/5/28,四,康是美,J卡Point,,-462,家用,,,,,,,,
2026/5/28,四,麵粉,現金,-110,,家用,,,,,,,,
2026/5/29,五,cursorAI ,熊卡,,-628,其它,,,,,,,,
2026/5/29,五,便當,現金,-86,,食,,,,,,,,
2026/5/29,五,美廉社,J卡Point,,-355,家用,,,,,,,,
2026/5/30,六,迪卡儂,J卡Point,,-228,家用,,,,,,,,
2026/5/30,六,看醫生,現金,-350,,醫療,,,,,,,,
2026/5/30,六,便當,現金,-550,,家用,,,,,,,,
2026/5/30,六,加油,J卡Point,,-138,行,,,,,,,,
2026/5/30,六,小七,J卡Point,,-116,食,,,,,,,,
2026/5/30,六,書,現金,-957,,其它,,,,,,,,
2026/5/30,六,六月的公基金,現金,-10000,,家用,,,,,,,,
2026/5/31,日,東廣,現金,-350,,育兒,,,,,,,,
2026/5/31,日,美廉社,J卡Point,,-223,家用,,,,,,,,
