日期,星期,品項,付款方式,金額,刷卡金額,分類項目,備註,固定開銷,總花費,本月收支餘額,,,金額,占總消費百分比
2026/4/1,三,518,現金,-691,,家用,,,,-23535,,,,
2026/4/1,三,餛飩皮,現金,-50,,其它,小灶,,,總收入,,,,
2026/4/1,三,美廉社,J卡Point,,-266,家用,,,,81569,,,,
2026/4/2,四,好市多會員費,富邦好市多聯名卡,,-1500,家用,,,,,,,,
2026/4/2,四,宜蘭住宿,熊卡,,-5631,樂,,,,,,,,
2026/4/2,四,薪資,收入,62200,,收入,,,,,,,,
2026/4/2,四,勞保費,現金,-1145,,保險,,,,,,,,
2026/4/2,四,健保費,現金,-990,,保險,,,,,,,,
2026/4/2,四,福利金,現金,-311,,其它,,,,,,,,
2026/4/2,四,持股信託,現金,-1000,,投資,,,,,,,,
2026/4/2,四,日昇房貸,現金,-30951,,住,,,,,,,,
2026/4/2,四,家用公基金,現金,-10000,,家用,,,,,,,,
2026/4/2,四,清心,J卡Point,,-205,家用,,,,,,,,
2026/4/3,五,看醫生,現金,-350,,醫療,,,,,,,,
2026/4/3,五,晚餐,J卡Point,,-559,家用,,,,,,,,
2026/4/4,六,咖啡,J卡Point,,-30,食,,,,,,,,
2026/4/5,日,衣服,現金,-1260,,育兒,,,,,,,,
2026/4/5,日,麵包,現金,-105,,食,,,,,,,,
2026/4/6,一,發票獎金,收入,500,,收入,,,,,,,,
2026/4/6,一,小七,J卡Point,,-170,食,,,,,,,,
2026/4/6,一,晚餐,J卡Point,,-151,家用,另付line point 300,,,,,,,
2026/4/7,二,小七,J卡Point,,-108,食,,,,,,,,
2026/4/7,二,午餐,現金,-125,,食,,,,,,,,
2026/4/7,二,晚餐,J卡Point,,-632,家用,,,,,,,,
2026/4/7,二,定期定額扣款,現金,-1000,,投資,,,,,,,,
2026/4/7,二,皇家電費,現金,-869,,住,,,,,,,,
2026/4/7,二,日昇電費,現金,-2811,,住,,,,,,,,
2026/4/8,三,午餐,現金,-135,,食,,,,,,,,
2026/4/8,三,海鮮,現金,-2600,,家用,,,,,,,,
2026/4/9,四,午餐,現金,-105,,食,,,,,,,,
2026/4/9,四,茶湯會,J卡Point,,-65,食,,,,,,,,
2026/4/9,四,米,現金,-190,,家用,,,,,,,,
2026/4/9,四,牛奶,J卡Point,,-162,家用,,,,,,,,
2026/4/10,五,補差額,J卡Point,,-30,食,,,,,,,,
